225.3	13.9668	27.9336
226.7	14.0306	28.0612
228.1	14.0944	28.1888
229.4	14.1582	28.3164
230.8	14.5408	29.0816
232.1	14.6046	29.2092
233.5	14.6684	29.3368
234.8	14.7321	29.4642
236.2	14.7959	29.5918
237.6	14.9872	29.9744
238.9	15.051	30.102
240.3	15.1148	30.2296
241.6	15.1786	30.3572
243	15.2423	30.4846
244.3	15.5612	31.1224
245.7	15.6888	31.3776
247.1	16.3265	32.653
248.4	16.3903	32.7806
249.8	16.9005	33.801
251.1	16.9643	33.9286
252.5	17.0281	34.0562
253.8	17.3469	34.6938
255.2	17.4107	34.8214
256.6	17.7934	35.5868
257.9	17.8571	35.7142
259.3	18.4949	36.9898
260.6	18.5587	37.1174
262	18.6224	37.2448
263.3	19.1964	38.3928
264.7	19.4515	38.903
266.1	19.7066	39.4132
267.4	19.7704	39.5408
268.8	19.6429	39.2858
270.1	19.898	39.796
271.5	20.0255	40.051
272.9	20.1531	40.3062
274.2	20.2168	40.4336
275.6	20.3444	40.6888
276.9	20.3444	40.6888
278.3	20.3444	40.6888
279.6	20.3444	40.6888
281	20.3444	40.6888
282.4	20.3444	40.6888
283.7	20.3444	40.6888
285.1	20.3444	40.6888
286.4	20.3444	40.6888
287.8	20.3444	40.6888
289.1	20.3444	40.6888
290.5	20.3444	40.6888
291.9	20.2806	40.5612
293.2	20.2806	40.5612
294.6	20.2806	40.5612
295.9	20.2168	40.4336
297.3	20.2168	40.4336
298.6	20.2168	40.4336
300	20.2168	40.4336
301.4	20.2168	40.4336
302.7	20.2168	40.4336
304.1	20.2806	40.5612
305.4	20.3444	40.6888
306.8	20.3444	40.6888
308.1	20.3444	40.6888
309.5	20.3444	40.6888
310.9	20.3444	40.6888
312.2	20.3444	40.6888
313.6	20.3444	40.6888
314.9	20.3444	40.6888
316.3	20.2806	40.5612
317.6	20.2168	40.4336
319	20.0893	40.1786
320.4	20.0893	40.1786
321.7	20.0255	40.051
323.1	19.9617	39.9234
324.4	19.898	39.796
325.8	19.898	39.796
327.1	19.898	39.796
328.5	19.898	39.796
329.9	19.898	39.796
331.2	19.898	39.796
332.6	19.898	39.796
333.9	19.898	39.796
335.3	19.898	39.796
336.7	19.898	39.796
338	19.9617	39.9234
339.4	19.898	39.796
